gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,epsfxq,ltq,niq,revtq,capxy,costat
004503,2009-12-31,2009,4,INDL,C,D,STD,XOM,USD,2009Q4,2009Q4,1.2700,117931.0000,6050.0000,80106.0000,22491.0000,A
004503,2010-03-31,2010,1,INDL,C,D,STD,XOM,USD,2010Q1,2010Q1,1.3300,125082.0000,6300.0000,80222.0000,5756.0000,A
004503,2010-06-30,2010,2,INDL,C,D,STD,XOM,USD,2010Q2,2010Q2,1.6000,145701.0000,7560.0000,82747.0000,11400.0000,A
004503,2010-09-30,2010,3,INDL,C,D,STD,XOM,USD,2010Q3,2010Q3,1.4400,149394.0000,7350.0000,85181.0000,19201.0000,A
004503,2010-12-31,2010,4,INDL,C,D,STD,XOM,USD,2010Q4,2010Q4,1.8500,149831.0000,9250.0000,93428.0000,26871.0000,A
004503,2011-03-31,2011,1,INDL,C,D,STD,XOM,USD,2011Q1,2011Q1,2.1400,162002.0000,10650.0000,101335.0000,7051.0000,A
004503,2011-06-30,2011,2,INDL,C,D,STD,XOM,USD,2011Q2,2011Q2,2.1800,164369.0000,10680.0000,112781.0000,14863.0000,A
004503,2011-09-30,2011,3,INDL,C,D,STD,XOM,USD,2011Q3,2011Q3,2.1300,161015.0000,10330.0000,111991.0000,22341.0000,A
004503,2011-12-31,2011,4,INDL,C,D,STD,XOM,USD,2011Q4,2011Q4,1.9700,170308.0000,9400.0000,107419.0000,30975.0000,A
004503,2012-03-31,2012,1,INDL,C,D,STD,XOM,USD,2012Q1,2012Q1,2.0000,181035.0000,9450.0000,110696.0000,7843.0000,A
004503,2012-06-30,2012,2,INDL,C,D,STD,XOM,USD,2012Q2,2012Q2,3.4100,161660.0000,15910.0000,104143.0000,16188.0000,A
004503,2012-09-30,2012,3,INDL,C,D,STD,XOM,USD,2012Q3,2012Q3,2.0900,162836.0000,9570.0000,102852.0000,24214.0000,A
004503,2012-12-31,2012,4,INDL,C,D,STD,XOM,USD,2012Q4,2012Q4,2.2000,162135.0000,9950.0000,101409.0000,34271.0000,A
004503,2013-03-31,2013,1,INDL,C,D,STD,XOM,USD,2013Q1,2013Q1,2.1200,166562.0000,9500.0000,95886.0000,7494.0000,A
004503,2013-06-30,2013,2,INDL,C,D,STD,XOM,USD,2013Q2,2013Q2,1.5500,170027.0000,6860.0000,95498.0000,16145.0000,A
004503,2013-09-30,2013,3,INDL,C,D,STD,XOM,USD,2013Q3,2013Q3,1.7900,172086.0000,7870.0000,100508.0000,25243.0000,A
004503,2013-12-31,2013,4,INDL,C,D,STD,XOM,USD,2013Q4,2013Q4,1.9100,166313.0000,8350.0000,98355.0000,33669.0000,A
004503,2014-03-31,2014,1,INDL,C,D,STD,XOM,USD,2014Q1,2014Q1,2.1000,170142.0000,9100.0000,93896.0000,7328.0000,A
004503,2014-06-30,2014,2,INDL,C,D,STD,XOM,USD,2014Q2,2014Q2,2.0500,170455.0000,8780.0000,97848.0000,15870.0000,A
004503,2014-09-30,2014,3,INDL,C,D,STD,XOM,USD,2014Q3,2014Q3,1.8900,165269.0000,8070.0000,95687.0000,24068.0000,A
004503,2014-12-31,2014,4,INDL,C,D,STD,XOM,USD,2014Q4,2014Q4,1.5600,168429.0000,6570.0000,77332.0000,32952.0000,A
