,2023-09-30
Treasury Shares Number,4056000000.0
Ordinary Shares Number,3962917886.0
Share Issued,8018917886.0
Net Debt,8309000000.0
Total Debt,41253000000.0
Tangible Book Value,199703000000.0
Invested Capital,240956000000.0
Working Capital,29956000000.0
Net Tangible Assets,199703000000.0
Capital Lease Obligations,
Common Stock Equity,199703000000.0
Total Capitalization,236213000000.0
Total Equity Gross Minority Interest,207533000000.0
Minority Interest,7830000000.0
Stockholders Equity,199703000000.0
Gains Losses Not Affecting Retained Earnings,-13088000000.0
Other Equity Adjustments,-13088000000.0
Treasury Stock,253512000000.0
Retained Earnings,450138000000.0
Capital Stock,16165000000.0
Common Stock,16165000000.0
Total Liabilities Net Minority Interest,164726000000.0
Total Non Current Liabilities Net Minority Interest,93540000000.0
Other Non Current Liabilities,20868000000.0
Employee Benefits,10174000000.0
Non Current Pension And Other Postretirement Benefit Plans,10174000000.0
Dueto Related Parties Non Current,2076000000.0
Tradeand Other Payables Non Current,0.0
Non Current Deferred Liabilities,23912000000.0
Non Current Deferred Taxes Liabilities,23912000000.0
Long Term Debt And Capital Lease Obligation,36510000000.0
Long Term Capital Lease Obligation,
Long Term Debt,36510000000.0
Current Liabilities,71186000000.0
Current Debt And Capital Lease Obligation,4743000000.0
Current Debt,4743000000.0
Other Current Borrowings,
Line Of Credit,
Commercial Paper,
Payables And Accrued Expenses,66443000000.0
Payables,66443000000.0
Other Payable,
Dueto Related Parties Current,
Total Tax Payable,4186000000.0
Income Tax Payable,4186000000.0
Accounts Payable,62257000000.0
Total Assets,372259000000.0
Total Non Current Assets,271117000000.0
Other Non Current Assets,17189000000.0
Non Current Prepaid Assets,
Non Current Accounts Receivable,
Investments And Advances,48066000000.0
Investmentin Financial Assets,
Available For Sale Securities,
Long Term Equity Investment,
Net PPE,205862000000.0
Accumulated Depreciation,
Gross PPE,
Other Properties,
Current Assets,101142000000.0
Other Current Assets,1905000000.0
Restricted Cash,29000000.0
Inventory,24450000000.0
Finished Goods,20052000000.0
Raw Materials,4398000000.0
Receivables,41814000000.0
Other Receivables,
Accounts Receivable,41814000000.0
Allowance For Doubtful Accounts Receivable,
Gross Accounts Receivable,
Cash Cash Equivalents And Short Term Investments,32944000000.0
Cash And Cash Equivalents,32944000000.0
